year,title,artist,id,uri,rank,genre,cover,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,time_signature,duration_ms,start_time
1947,Day By Day,Frank Sinatra,0igm1g94I9S9lsn55lqgKI,spotify:track:0igm1g94I9S9lsn55lqgKI,33,Pop,FALSE,0.626,0.278,7,-9.485,0.0375,0.219,0,0.0722,0.724,127.052,1,4,159160,0:15
1947,My Adobe Hacienda,The Dinning Sisters,00rM9F1SBCgWsRirj6P1Ti,spotify:track:00rM9F1SBCgWsRirj6P1Ti,33,Country,FALSE,0.681,0.128,8,-18.849,0.108,0.923,0.000649,0.26,0.731,95.218,1,4,165800,0:03
1947,You Won't Be Satisfied (Until You Break My Heart),Ella Fitzgerald,0ozNBnrSW1c9pSBakox1h1,spotify:track:0ozNBnrSW1c9pSBakox1h1,34,Jazz,FALSE,0.525,0.29,8,-10.06,0.0573,0.922,1.67E-06,0.205,0.487,76.567,1,4,174147,0:11
1947,Across The Alley From The Alamo - Single Version,The Mills Brothers,6Wl2CCXAl2OChdcDW2B0A2,spotify:track:6Wl2CCXAl2OChdcDW2B0A2,34,Pop,FALSE,0.813,0.158,6,-14.905,0.0507,0.904,0,0.139,0.672,141.047,1,1,148000,0:02
1947,I Believe,Mel Torme,6sFg6UfXmXgheI4WEBg1BG,spotify:track:6sFg6UfXmXgheI4WEBg1BG,35,Jazz,FALSE,0.412,0.198,5,-13.713,0.0308,0.985,0.543,0.135,0.364,129.101,1,4,166227,1:30
1947,Shoo Fly Pie and Apple Pan Dowdy,Stan Kenton,7rMArlZaoWdPo2XKDZQAFC,spotify:track:7rMArlZaoWdPo2XKDZQAFC,35,Jazz,TRUE,0.66,0.377,3,-11.529,0.0888,0.752,0,0.0736,0.746,124.032,1,4,159000,0:14
1947,That's My Desire,Ella Fitzgerald,799ikVPdKmi9IUThJS506L,spotify:track:799ikVPdKmi9IUThJS506L,36,Jazz,FALSE,0.682,0.148,1,-15.594,0.0749,0.648,0,0.0828,0.293,100.847,0,4,183733,1:06
1947,All Through The Day,Frank Sinatra,5ZG1JwCKyUWBRizunThX1i,spotify:track:5ZG1JwCKyUWBRizunThX1i,38,Pop,FALSE,0.264,0.246,5,-10.941,0.0312,0.881,0.00317,0.259,0.19,89.418,1,4,180200,0:14
1947,Ivy,Jo Stafford,1YlgRqLx8m4pCNrXgCWM3d,spotify:track:1YlgRqLx8m4pCNrXgCWM3d,39,Pop,FALSE,0.217,0.232,0,-12.707,0.0376,0.886,3.51E-06,0.188,0.26,93.773,1,4,174667,0:09
1947,Laughing on the Outside (Crying on the Inside),Dinah Shore,2RG22MnkRzrPNAyc0eFn8w,spotify:track:2RG22MnkRzrPNAyc0eFn8w,40,Jazz,FALSE,0.414,0.148,7,-13.059,0.0387,0.92,1.36E-06,0.202,0.289,65.673,0,4,186960,0:11
1947,Temptation,Jo Stafford,2QEFAAQV3SeSBV6sqJPedM,spotify:track:2QEFAAQV3SeSBV6sqJPedM,40,Pop,FALSE,0.789,0.366,10,-11.003,0.329,0.679,2.09E-06,0.0374,0.912,114.23,1,4,209893,0:07
